epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,7740.09,0.88332,0.52191,1.2661,0.96767,0.98919,0.99332,0.79704,0.76389,0.39403,1.2761,0.0011684,0.0011684,0.0011684
23,8086.22,0.86472,0.51384,1.26587,0.97312,0.97834,0.9921,0.79075,0.77356,0.40383,1.27907,0.0011288,0.0011288,0.0011288
24,8432.55,0.84544,0.49259,1.25033,0.97835,0.97719,0.99292,0.7954,0.76004,0.38371,1.26837,0.0010892,0.0010892,0.0010892
25,8778.79,0.85326,0.49357,1.25241,0.97134,0.98919,0.99341,0.79279,0.78682,0.38645,1.28944,0.0010496,0.0010496,0.0010496
26,9125.63,0.82718,0.48237,1.24157,0.97866,0.99155,0.99407,0.81004,0.72364,0.38209,1.23519,0.00101,0.00101,0.00101
27,9472.69,0.85307,0.4909,1.24463,0.97228,1,0.99408,0.80776,0.75014,0.38429,1.26566,0.0009704,0.0009704,0.0009704
28,9820.19,0.81724,0.46206,1.23631,0.95843,0.99707,0.99262,0.8142,0.72682,0.36448,1.23651,0.0009308,0.0009308,0.0009308
29,10166.8,0.81221,0.45862,1.23328,0.98767,0.98919,0.99382,0.81572,0.71763,0.36532,1.23198,0.0008912,0.0008912,0.0008912
30,10512.7,0.80772,0.46664,1.22756,0.96833,0.99172,0.99381,0.80697,0.7659,0.37844,1.26353,0.0008516,0.0008516,0.0008516
31,10858.7,0.81434,0.46341,1.22329,0.97612,0.98919,0.99337,0.81583,0.77105,0.36249,1.28221,0.000812,0.000812,0.000812
32,11205.3,0.80187,0.45287,1.21198,0.98908,0.97838,0.99372,0.80131,0.75886,0.36943,1.2615,0.0007724,0.0007724,0.0007724
33,11552.8,0.80141,0.44929,1.21496,0.9839,1,0.99457,0.82656,0.72376,0.34374,1.23544,0.0007328,0.0007328,0.0007328
34,11899.3,0.77973,0.43365,1.20687,0.98251,1,0.99434,0.83431,0.7151,0.33213,1.23256,0.0006932,0.0006932,0.0006932
35,12245.8,0.77491,0.4327,1.19572,0.98271,0.97297,0.99382,0.80188,0.75685,0.36049,1.26606,0.0006536,0.0006536,0.0006536
36,12592.5,0.76766,0.42612,1.20063,0.94821,0.9897,0.99245,0.8059,0.74759,0.3669,1.25979,0.000614,0.000614,0.000614
37,12937.7,0.77077,0.42977,1.19566,0.98917,0.98732,0.99418,0.82915,0.7289,0.33227,1.22948,0.0005744,0.0005744,0.0005744
38,13284.8,0.75458,0.41743,1.20033,0.98386,0.98836,0.99349,0.83527,0.68448,0.3297,1.19467,0.0005348,0.0005348,0.0005348
39,13631.2,0.75035,0.40708,1.1875,0.97881,0.99885,0.9932,0.83838,0.67164,0.31652,1.17945,0.0004952,0.0004952,0.0004952
40,13977.7,0.73485,0.40342,1.18759,0.97782,0.99459,0.99384,0.84203,0.7087,0.32919,1.2177,0.0004556,0.0004556,0.0004556
41,14322.2,0.65029,0.34688,1.18408,0.98515,0.98378,0.99441,0.81773,0.72678,0.3383,1.23318,0.000416,0.000416,0.000416
42,14664.6,0.62979,0.32614,1.17339,0.98395,0.99443,0.99457,0.8472,0.65647,0.30995,1.17276,0.0003764,0.0003764,0.0003764
43,15007.5,0.61987,0.31484,1.15545,0.9888,0.99459,0.99457,0.84197,0.67932,0.3185,1.1918,0.0003368,0.0003368,0.0003368
44,15350.7,0.61019,0.30614,1.14479,0.98865,0.99459,0.99478,0.85584,0.65374,0.30507,1.1788,0.0002972,0.0002972,0.0002972
45,15695.3,0.59353,0.30073,1.13425,0.98874,0.99459,0.99484,0.84715,0.66035,0.3036,1.18621,0.0002576,0.0002576,0.0002576
46,16039.2,0.58034,0.29613,1.1177,0.99459,0.99314,0.99468,0.84673,0.66996,0.31523,1.18688,0.000218,0.000218,0.000218
47,16382.5,0.57162,0.29106,1.11781,0.99459,0.99459,0.99468,0.85064,0.67441,0.30701,1.18884,0.0001784,0.0001784,0.0001784
48,16725.3,0.56632,0.28534,1.10601,0.99361,0.99459,0.99489,0.84528,0.66451,0.30243,1.18315,0.0001388,0.0001388,0.0001388
49,17069.7,0.56053,0.27752,1.11037,0.99407,0.99459,0.99495,0.85041,0.649,0.2947,1.16983,9.92e-05,9.92e-05,9.92e-05
50,17412.1,0.54648,0.27849,1.08968,0.99514,0.99459,0.995,0.85386,0.64795,0.29043,1.1679,5.96e-05,5.96e-05,5.96e-05
