epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.031,1.06409,1.44749,1.44467,0.85232,0.87348,0.9046,0.52337,1.232,1.78791,1.8285,0.000659933,0.000659933,0.000659933
2,726.486,1.11265,1.10845,1.4765,0.83022,0.67568,0.79788,0.43941,1.47991,1.54105,2.034,0.00130033,0.00130033,0.00130033
3,1074.09,1.1298,0.95891,1.47848,0.32835,0.25946,0.21925,0.09103,2.70804,2.47818,2.7654,0.00191433,0.00191433,0.00191433
4,1420.87,1.13134,0.89639,1.4736,0.80084,0.72432,0.81468,0.35105,1.83503,1.37961,2.61657,0.0018812,0.0018812,0.0018812
5,1768.19,1.08179,0.81332,1.41358,0.79484,0.9027,0.91775,0.60975,1.18643,0.88499,1.66746,0.0018416,0.0018416,0.0018416
6,2114.83,1.04258,0.73709,1.39604,0.90964,0.76178,0.85377,0.5622,1.26278,1.03552,1.82401,0.001802,0.001802,0.001802
7,2461.85,1.04513,0.75317,1.40236,0.96212,0.94595,0.98418,0.70933,0.96644,0.67039,1.5097,0.0017624,0.0017624,0.0017624
8,2807.14,1.03204,0.70689,1.38806,0.97129,0.91429,0.98218,0.71952,0.92706,0.61012,1.44989,0.0017228,0.0017228,0.0017228
9,3153.62,1.00593,0.68368,1.36427,0.84504,0.88429,0.92229,0.67105,0.91534,0.73858,1.43177,0.0016832,0.0016832,0.0016832
10,3500.25,0.99269,0.64707,1.35415,0.9354,0.93926,0.96232,0.74696,0.83207,0.53662,1.37217,0.0016436,0.0016436,0.0016436
11,3845.67,0.98261,0.63674,1.35285,0.93707,0.94595,0.98179,0.73438,0.87532,0.56389,1.40565,0.001604,0.001604,0.001604
12,4198.76,0.96285,0.60685,1.32984,0.93569,0.94383,0.97078,0.75457,0.86753,0.52817,1.38162,0.0015644,0.0015644,0.0015644
13,4583.98,0.95856,0.61285,1.33889,0.88815,0.94595,0.9684,0.7227,0.92054,0.59468,1.44754,0.0015248,0.0015248,0.0015248
14,4961,0.95506,0.59211,1.32045,0.92768,0.98378,0.98878,0.78227,0.79155,0.44998,1.31188,0.0014852,0.0014852,0.0014852
15,5309.62,0.92849,0.59051,1.30899,0.95739,0.97154,0.98697,0.75239,0.87376,0.49469,1.36614,0.0014456,0.0014456,0.0014456
16,5658.03,0.91978,0.55203,1.29692,0.94217,0.96881,0.98831,0.78841,0.79181,0.44697,1.30404,0.001406,0.001406,0.001406
17,6005.92,0.90048,0.5476,1.28578,0.952,0.98378,0.99275,0.78066,0.79123,0.43848,1.30275,0.0013664,0.0013664,0.0013664
18,6353.82,0.90962,0.56038,1.29039,0.96692,0.95676,0.99044,0.78626,0.82352,0.43447,1.33281,0.0013268,0.0013268,0.0013268
19,6701.04,0.88592,0.54058,1.27986,0.96769,0.9714,0.99259,0.79211,0.77429,0.41228,1.27934,0.0012872,0.0012872,0.0012872
20,7047.46,0.86935,0.51366,1.25979,0.97871,0.99418,0.99429,0.77051,0.83815,0.41842,1.33372,0.0012476,0.0012476,0.0012476
21,7393.1,0.87469,0.52188,1.27192,0.96326,0.97297,0.98989,0.78856,0.78742,0.42316,1.29188,0.001208,0.001208,0.001208
